Sample,Position,Chlorite_wt,Illite_wt,Kaolinite_wt,Smectite_wt,Muscovite_wt,Quartz_Feldspar_wt,Calcite_wt,Dolomite_wt,Sulfur_wt,Mean_carbonate_content,Mean_magnetic_susceptibility,Mean_eth_porosity,,
SLG1,0,2,8.1999999999999993,2.3999999999999999,1.7,0,81.599999999999994,2,2.1000000000000001,0,2.05,8.5268044815465697e-09,0.61,,
SLG2,3.5,2.5,11.800000000000001,5.2999999999999998,5.0999999999999996,2.7000000000000002,64,5.0999999999999996,3.6000000000000001,0,4.37,1.0486313229572001e-08,1.08,,
SLG3,7.8000000000000007,3.3999999999999999,33.200000000000003,6.2000000000000002,10.699999999999999,2.1000000000000001,38.100000000000001,4.0999999999999996,2.2000000000000002,0,3.32,2.6374470079307899e-08,2.37,,
SLG4,13.599999999999998,2.3999999999999999,17.399999999999999,5.7999999999999998,3.1000000000000001,0,64.400000000000006,3.3999999999999999,3.7000000000000002,0,3.71,1.4234457442517101e-08,1.31,,
SLG5,17.800000000000001,3.5,13.800000000000001,4.5,2.3999999999999999,0,63.799999999999997,5.4000000000000004,6.7000000000000002,0,5.05,1.24618304304962e-08,1.37,,
SLG6,23.599999999999998,10.1,13.199999999999999,5.0999999999999996,1.8,0,59.200000000000003,4.7999999999999998,5.7999999999999998,0,3.58,2.1054243727598601e-08,0.82,,
SLG7,25.800000000000001,5.2999999999999998,12.699999999999999,2.7999999999999998,2.2000000000000002,0,71.799999999999997,2.6000000000000001,2.6000000000000001,0,2.68,1.5251648484848502e-08,0.57,,
SLG8,28.000000000000004,3.3999999999999999,11.9,3.5,2.1000000000000001,0,72.599999999999994,2.7999999999999998,3.7000000000000002,0,3.21,1.6803769483182899e-08,0.71,,
SLG9,29.400000000000002,10.4,21.5,5.4000000000000004,3.2000000000000002,0,54.100000000000001,2.3999999999999999,3,0,2.84,2.1873759054517701e-08,0.42,,
SLG10,31.400000000000002,3,12,8.6999999999999993,2.1000000000000001,0,64.299999999999997,3.7000000000000002,6.2000000000000002,0,3.40,1.32433948635634e-08,1.11,,
SLG11,33.650000000000006,5.4000000000000004,14.5,6.5999999999999996,2.6000000000000001,0,55.399999999999999,7.5,8,0,7.26,2.1560203784570601e-08,0.89,,
SLG12,36,6.0999999999999996,12.5,7.2999999999999998,0.80000000000000004,0,59.600000000000001,5,8.6999999999999993,0,4.24,2.8278784300104199e-08,1.92,,
SLG13,36.599999999999994,6.5,19.100000000000001,9.4000000000000004,3.3999999999999999,0,52.100000000000001,4.2000000000000002,5.4000000000000004,0,4.29,1.8784945833333299e-08,7.55,,
SLG14,36.799999999999997,5.5999999999999996,16.100000000000001,7,2.7999999999999998,0,58.799999999999997,4.0999999999999996,5.5999999999999996,0,5.21,1.4286371482176399e-08,1.74,,
SLG16,37.700000000000003,3.3999999999999999,10.800000000000001,5.5,1.8999999999999999,0,69.5,3.7000000000000002,5.0999999999999996,0,5.74,1.3626192870201101e-08,4.15,,
SLG17,38.399999999999991,12.9,28.199999999999999,10.300000000000001,22,0,19.899999999999999,3.6000000000000001,3.2000000000000002,0,11.45,2.6028710390567399e-08,8.10,,
SLG18,42,6.7000000000000002,22.800000000000001,10.199999999999999,15.4,0,36.700000000000003,3.8999999999999999,4.4000000000000004,0,10.24,2.2536887550200801e-08,10.66,,
SLG19,42.899999999999991,7.0999999999999996,20,9.6999999999999993,3.2000000000000002,0,45.5,6.2000000000000002,8.1999999999999993,0,10.87,2.1361684078562499e-08,6.33,,
SL7A,43.5,7.6500000000000004,23.300000000000001,15.4,6.6500000000000004,0,36.850000000000001,5,5.0499999999999998,0,11.11,2.74141809728183e-08,5.18,,
SL7B,43.5,7.5499999999999998,22.050000000000001,16.850000000000001,4.5499999999999998,0,35.549999999999997,6.2999999999999998,7.0999999999999996,0,12.66,2.6944829676674401e-08,8.37,,
SL7C,43.5,6.5999999999999996,21.399999999999999,12.800000000000001,6.1500000000000004,0,40.700000000000003,5.7000000000000002,6.7000000000000002,0,11.35,2.6025142956764301e-08,4.24,,
SLG20,44.5,4.2000000000000002,18.300000000000001,9.8000000000000007,2.6000000000000001,7.2999999999999998,44.399999999999999,6,7.4000000000000004,0,10.74,2.356097582038e-08,5.90,,
SL7BIS1,45.0,6.7999999999999998,23.25,16.649999999999999,5.1500000000000004,0,32.549999999999997,7.4000000000000004,8.3000000000000007,0,14.82,2.93963166760247e-08,5.49,,
SL7BIS2,45.0,7.8499999999999996,23.699999999999999,14.35,5.5999999999999996,0,34.399999999999999,6.5,7.5999999999999996,0,15.45,2.7701504e-08,8.13,,
SLG21,45.599999999999994,1.6000000000000001,5.4000000000000004,1.1000000000000001,0.90000000000000002,0,81.599999999999994,3.2000000000000002,6.2999999999999998,0,4.66,4.1500074041811803e-09,2.43,,
SL8,46.1,9.6999999999999993,29.199999999999999,9.1500000000000004,24.5,0,21.399999999999999,3.3500000000000001,2.75,0,13.08,2.89869954303123e-08,13.10,,
SLG22,46.700000000000003,11.1,28.100000000000001,8.6999999999999993,16.600000000000001,0,24.899999999999999,5.0999999999999996,5.5999999999999996,0,15.59,2.6089829229547301e-08,8.73,,
SL6,48.1,7.1500000000000004,24.600000000000001,11.4,5.75,0,43.350000000000001,3.8500000000000001,3.8999999999999999,0,8.39,2.2504564837469401e-08,6.51,,
SLG23,48.200000000000003,6.5,19.600000000000001,12.5,3.5,0,41.700000000000003,6.4000000000000004,9.9000000000000004,0,7.98,1.62951116333725e-08,5.69,,
SLG24,49.700000000000003,2.3999999999999999,14.199999999999999,7.7999999999999998,2.5,1.8999999999999999,55.100000000000001,7.0999999999999996,8.9000000000000004,0,9.66,1.77161064891847e-08,2.82,,
SL5,51.3,4.9500000000000002,8.5,11.550000000000001,1.5,0,53.100000000000001,7.25,13.25,0,8.26,2.7813281292059199e-08,3.57,,
SLG25,53,2.5,20.300000000000001,7,9.5,2.1000000000000001,42.399999999999999,7.5999999999999996,8.5999999999999996,0,8.03,1.81209683730029e-08,4.02,,
SLG26,55,2.2000000000000002,15.800000000000001,10.1,2.7999999999999998,6.4000000000000004,49.200000000000003,7.5,6.0999999999999996,0,10.11,2.0084688026981401e-08,5.39,,
SLG27,57.899999999999991,1.1000000000000001,12,6.9000000000000004,2.3999999999999999,1,55.299999999999997,11.699999999999999,9.5999999999999996,0,13.00,2.2966323987538901e-08,3.48,,
SLG28,60.899999999999991,1.3,8.4000000000000004,4.5,1.5,0,74.099999999999994,4.9000000000000004,5.2000000000000002,0,7.00,1.33464926660915e-08,2.48,,
SL4,62.2,4.0999999999999996,17,5.5499999999999998,6.5,0,51.450000000000003,7.9000000000000004,7.4500000000000002,0,8.77,2.4089123146357199e-08,2.28,,
SLG29,63.700000000000003,1.7,14.1,8.3000000000000007,2.5,2.2999999999999998,56,7.5,7.5999999999999996,0,9.33,1.9854368656110399e-08,3.20,,
SL9A,63.8,4.6500000000000004,15,7.0499999999999998,19.949999999999999,0,48.399999999999999,2.6499999999999999,2.1499999999999999,0,6.41,1.4274969735584599e-08,7.41,,
SLG30,66.399999999999991,1.7,9.8000000000000007,11,10.1,1.1000000000000001,50,7.7999999999999998,8.5,0,8.54,1.5262409961685801e-08,4.12,,
SLG31,67.899999999999991,2.2999999999999998,10.300000000000001,7.7000000000000002,4.9000000000000004,2.7999999999999998,63.5,4.5,3.8999999999999999,0,5.95,8.20696018062397e-09,2.52,,
SLG32,69.700000000000003,5,23.899999999999999,4.2000000000000002,4.2000000000000002,0,0,5.5,28.100000000000001,29.199999999999999,3.60,1.26016222222222e-08,3.10,,
SLG33,69.799999999999997,2.5,19.899999999999999,5.5,8,0,56.600000000000001,4.0999999999999996,3.2000000000000002,0,2.34,1.0980597091094701e-08,1.94,,
SLG34,70,2.6000000000000001,15.300000000000001,8.5999999999999996,7.5999999999999996,2.2999999999999998,55.799999999999997,5.5,2.3999999999999999,0,4.64,1.47764554079696e-08,1.27,,
SL1,70.5,2.5499999999999998,17.100000000000001,4.2999999999999998,5.7999999999999998,0,62.450000000000003,4.3499999999999996,3.5,0,3.64,1.2219074706105399e-08,1.62,,
SL2,70.5,2.8999999999999999,18.5,6.25,7.5999999999999996,0.59999999999999998,55.899999999999999,5.4000000000000004,2.8999999999999999,0,4.82,1.8297813940092202e-08,1.47,,
SL3,70.5,2.1499999999999999,13.85,5.6500000000000004,5.6500000000000004,0.40000000000000002,62.899999999999999,5.1500000000000004,4.25,0,3.60,1.27594699344543e-08,2.90,,
SLG35,71.599999999999994,2.2000000000000002,11.300000000000001,8.5999999999999996,11.4,0,57,7.5999999999999996,1.8,0,6.26,1.3694470588235299e-08,4.00,,
